"filename", "language", "Makefile", "C", "LinkerScript", "GAS/AT&T x86/x64", "Shell Script", "Properties", "C++", "Markdown", "Diff", "comment", "blank", "total"
"/home/christian/src/micro/usr/apps/coreutils/insmod.c", "C", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 7, 36
"/home/christian/src/micro/usr/apps/coreutils/linker.ld", "LinkerScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 2, 25
"/home/christian/src/micro/usr/apps/coreutils/ls.c", "C", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"/home/christian/src/micro/usr/apps/coreutils/mkdir.c", "C", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"/home/christian/src/micro/usr/apps/coreutils/mount.c", "C", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/home/christian/src/micro/usr/apps/coreutils/pwd.c", "C", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/home/christian/src/micro/usr/apps/coreutils/rmmod.c", "C", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"/home/christian/src/micro/usr/apps/coreutils/touch.c", "C", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"/home/christian/src/micro/usr/apps/coreutils/umount.c", "C", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/home/christian/src/micro/usr/apps/ed/Makefile", "Makefile", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 27
"/home/christian/src/micro/usr/apps/ed/ed.c", "C", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 26, 108
"/home/christian/src/micro/usr/apps/sh/Makefile", "Makefile", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 27
"/home/christian/src/micro/usr/apps/sh/linker.ld", "LinkerScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 2, 25
"/home/christian/src/micro/usr/apps/sh/sh.c", "C", 0, 94, 0, 0, 0, 0, 0, 0, 0, 1, 19, 114
"/home/christian/src/micro/usr/apps/term/Makefile", "Makefile", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 27
"/home/christian/src/micro/usr/apps/term/term.c", "C", 0, 174, 0, 0, 0, 0, 0, 0, 0, 1, 40, 215
"/home/christian/src/micro/usr/apps/test/Makefile", "Makefile", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 27
"/home/christian/src/micro/usr/apps/test/test.c", "C", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/home/christian/src/micro/usr/apps/vgaterm/Makefile", "Makefile", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 27
"/home/christian/src/micro/usr/apps/vgaterm/term.c", "C", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 6, 57
"/home/christian/src/micro/usr/libs/Makefile", "Makefile", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/home/christian/src/micro/usr/libs/libc/Makefile", "Makefile", 126, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 140
"/home/christian/src/micro/usr/libs/libc/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 3, 13
"/home/christian/src/micro/usr/libs/libc/ansi/generic/malloc.c", "C", 0, 120, 0, 0, 0, 0, 0, 0, 0, 9, 27, 156
"/home/christian/src/micro/usr/libs/libc/ansi/generic/math.c", "C", 0, 1, 0, 0, 0, 0, 0, 0, 0, 41, 1, 43
"/home/christian/src/micro/usr/libs/libc/ansi/generic/printf.c", "C", 0, 100, 0, 0, 0, 0, 0, 0, 0, 1, 28, 129
"/home/christian/src/micro/usr/libs/libc/ansi/generic/stdio.c", "C", 0, 209, 0, 0, 0, 0, 0, 0, 0, 5, 59, 273
"/home/christian/src/micro/usr/libs/libc/ansi/generic/time.c", "C", 0, 45, 0, 0, 0, 0, 0, 0, 0, 2, 13, 60
"/home/christian/src/micro/usr/libs/libc/ansi/include/assert.h", "C++", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 6
"/home/christian/src/micro/usr/libs/libc/ansi/include/ctype.h", "C++", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"/home/christian/src/micro/usr/libs/libc/ansi/include/errno.h", "C++", 0, 0, 0, 0, 0, 0, 21, 0, 0, 1, 3, 25
"/home/christian/src/micro/usr/libs/libc/ansi/include/limits.h", "C++", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 7, 24
